Code,Item,Imports,Exports,Re-Exports,Year,Trade
1,"01- Live Animals, animals products"," 7,769 "," 1,132 ", 675 ,2012,DFT
2,02- Vegetable products ," 18,112 ", 438 ," 4,946 ",2012,DFT
3,"03- Animal and vegetable fats, oils and waxes"," 1,012 ", 768 , 94 ,2012,DFT
4,"04- Prepared Foodstuffs, beverages and tobacco"," 11,753 "," 5,531 "," 3,124 ",2012,DFT
5,05- Mineral products ," 5,280 "," 3,102 ", 566 ,2012,DFT
6,06- Products of chemical and allied industries," 24,971 "," 3,024 "," 3,437 ",2012,DFT
7,"07- Plastics, rubber and articles thereof"," 12,299 "," 5,300 "," 3,165 ",2012,DFT
8,"08- Raw hides, skins, leather and articles"," 3,101 ", 20 , 539 ,2012,DFT
9,"09- Wood and articles, cork and plating materials"," 2,892 ", 49 , 633 ,2012,DFT
10,"10- Pulp of wood, paper products and waste paper"," 4,481 "," 2,302 ", 456 ,2012,DFT
11,11- Textiles and textile articles," 20,295 ", 990 ," 5,531 ",2012,DFT
12,"12- Footwear, headgear and umbrellas"," 3,482 ", 29 , 517 ,2012,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 4,390 "," 2,380 "," 1,551 ",2012,DFT
14,"14- Pearls, precious stones and metals"," 192,503 "," 108,249 "," 69,067 ",2012,DFT
15,15- Base metals and articles of base metals," 28,353 "," 12,312 "," 5,434 ",2012,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 74,642 "," 1,445 "," 30,582 ",2012,DFT
17,"17- Vehicles, aircraft and vessels"," 70,474 ", 688 ," 23,131 ",2012,DFT
18,"18- Optical, medical equipments and watches"," 7,989 ", 46 ," 2,150 ",2012,DFT
19,"19- Arms, ammunition, parts and accessories", 24 , 6 , 11 ,2012,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 7,745 ", 653 ," 1,779 ",2012,DFT
21,"21- Art work, collectors pieces and antiques", 100 , 22 , 300 ,2012,DFT
1,"01- Live Animals, animals products"," 8,449 "," 1,257 ", 879 ,2013,DFT
2,02- Vegetable products ," 19,619 ", 729 ," 5,080 ",2013,DFT
3,"03- Animal and vegetable fats, oils and waxes", 786 , 802 , 96 ,2013,DFT
4,"04- Prepared Foodstuffs, beverages and tobacco"," 11,778 "," 6,372 "," 3,444 ",2013,DFT
5,05- Mineral products ," 6,186 "," 3,773 ", 687 ,2013,DFT
6,06- Products of chemical and allied industries," 27,725 "," 3,349 "," 3,436 ",2013,DFT
7,"07- Plastics, rubber and articles thereof"," 12,790 "," 5,412 "," 3,880 ",2013,DFT
8,"08- Raw hides, skins, leather and articles"," 3,654 ", 31 , 579 ,2013,DFT
9,"09- Wood and articles, cork and plating materials"," 2,704 ", 66 , 700 ,2013,DFT
10,"10- Pulp of wood, paper products and waste paper"," 4,270 "," 3,805 ", 437 ,2013,DFT
11,11- Textiles and textile articles," 21,962 "," 1,141 "," 7,018 ",2013,DFT
12,"12- Footwear, headgear and umbrellas"," 4,130 ", 30 , 581 ,2013,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 4,521 "," 2,426 "," 1,527 ",2013,DFT
14,"14- Pearls, precious stones and metals"," 210,545 "," 79,880 "," 69,785 ",2013,DFT
15,15- Base metals and articles of base metals," 27,641 "," 13,704 "," 5,329 ",2013,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 90,450 "," 1,938 "," 38,424 ",2013,DFT
17,"17- Vehicles, aircraft and vessels"," 70,066 ", 591 ," 28,286 ",2013,DFT
18,"18- Optical, medical equipments and watches"," 8,873 ", 31 ," 2,307 ",2013,DFT
19,"19- Arms, ammunition, parts and accessories", 96 , 8 , 20 ,2013,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 8,649 ", 639 ," 2,046 ",2013,DFT
21,"21- Art work, collectors pieces and antiques", 131 , 43 , 175 ,2013,DFT
1,"01- Live Animals, animals products"," 9,238 "," 1,273 ", 922 ,2014,DFT
2,02- Vegetable products ," 21,337 ", 801 ," 5,368 ",2014,DFT
3,"03- Animal and vegetable fats, oils and waxes", 890 ," 1,004 ", 92 ,2014,DFT
4,"04- Prepared Foodstuffs, beverages and tobacco"," 13,614 "," 6,569 "," 4,057 ",2014,DFT
5,05- Mineral products ," 5,699 "," 3,956 ", 483 ,2014,DFT
6,06- Products of chemical and allied industries," 30,482 "," 3,881 "," 3,460 ",2014,DFT
7,"07- Plastics, rubber and articles thereof"," 14,541 "," 4,660 "," 4,242 ",2014,DFT
8,"08- Raw hides, skins, leather and articles"," 3,802 ", 32 , 459 ,2014,DFT
9,"09- Wood and articles, cork and plating materials"," 3,389 ", 70 , 846 ,2014,DFT
10,"10- Pulp of wood, paper products and waste paper"," 4,004 "," 3,276 ", 533 ,2014,DFT
11,11- Textiles and textile articles," 24,105 "," 1,171 "," 6,567 ",2014,DFT
12,"12- Footwear, headgear and umbrellas"," 4,723 ", 30 , 646 ,2014,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 5,088 "," 2,600 "," 1,654 ",2014,DFT
14,"14- Pearls, precious stones and metals"," 170,184 "," 44,868 "," 62,345 ",2014,DFT
15,15- Base metals and articles of base metals," 30,213 "," 20,634 "," 5,595 ",2014,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 109,187 "," 2,259 "," 38,514 ",2014,DFT
17,"17- Vehicles, aircraft and vessels"," 76,415 "," 1,795 "," 30,819 ",2014,DFT
18,"18- Optical, medical equipments and watches"," 9,943 ", 50 ," 2,542 ",2014,DFT
19,"19- Arms, ammunition, parts and accessories", 83 , 6 , 7 ,2014,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 10,099 ", 771 ," 2,083 ",2014,DFT
21,"21- Art work, collectors pieces and antiques", 227 , 34 , 538 ,2014,DFT
1,"01- Live Animals, animals products"," 8,760 "," 1,333 ", 941 ,2015,DFT
2,02- Vegetable products ," 22,839 ", 929 ," 6,699 ",2015,DFT
3,"03- Animal and vegetable fats, oils and waxes", 890 , 729 , 159 ,2015,DFT
4,04- Prepared Foodstuffs," 13,634 "," 6,217 "," 4,933 ",2015,DFT
5,05- Mineral products ," 5,081 "," 3,492 ", 489 ,2015,DFT
6,06- Products of chemical and allied industries," 29,275 "," 4,480 "," 3,435 ",2015,DFT
7,"07- Plastics, rubber and articles thereof"," 13,441 "," 4,872 "," 3,700 ",2015,DFT
8,"08- Raw hides, skins, leather and articles"," 3,463 ", 20 , 461 ,2015,DFT
9,"09- Wood and articles, cork and plating materials"," 3,377 ", 70 , 763 ,2015,DFT
10,"10- Pulp of wood, paper products and waste paper"," 3,980 "," 3,405 ", 603 ,2015,DFT
11,11- Textiles and textile articles," 22,917 "," 1,256 "," 6,377 ",2015,DFT
12,"12- Footwear, headgear and umbrellas"," 5,295 ", 31 , 776 ,2015,DFT
13,"13- Articles of stone, cement, asbestos, ceramics and glass"," 5,165 "," 2,286 "," 1,455 ",2015,DFT
14,"14- Pearls, precious stones and metals"," 142,366 "," 61,159 "," 59,292 ",2015,DFT
15,15- Base metals and articles of base metals," 27,263 "," 24,339 "," 4,667 ",2015,DFT
16,"16- Machinery, sound recorders, TV and electrical equipment"," 109,612 "," 2,458 "," 38,144 ",2015,DFT
17,"17- Vehicles, aircraft and vessels"," 76,648 "," 1,070 "," 29,982 ",2015,DFT
18,"18- Optical, medical equipments and watches"," 9,692 ", 46 ," 3,757 ",2015,DFT
19,"19- Arms, ammunition, parts and accessories", 107 , 3 , 6 ,2015,DFT
20,20- Miscellaneous manufactured articles not elsewhere classified," 10,295 ", 664 ," 2,115 ",2015,DFT
21,"21- Art work, collectors pieces and antiques", 145 , 52 , 225 ,2015,DFT
1,"01- Live Animals, animals products"," 7,586 "," 1,309 ", 711 ,2016,DFT
2,02- Vegetable products ," 21,675 ", 926 ," 5,824 ",2016,DFT
3,"03- Animal and vegetable fats, oils and waxes", 885 , 595 , 246 ,2016,DFT
4,04- Prepared Foodstuffs," 13,524 "," 6,919 "," 4,420 ",2016,DFT
5,05- Mineral products ," 9,351 "," 3,381 ", 380 ,2016,DFT
6,06- Products of chemical and allied industries," 27,800 "," 4,457 "," 3,361 ",2016,DFT
7,"07- Plastics, rubber and articles thereof"," 12,304 "," 4,782 "," 3,540 ",2016,DFT
8,"08- Raw hides, skins, leather and articles"," 3,142 ", 15 , 426 ,2016,DFT
9,"09- Wood and articles, cork and plating materials"," 3,113 ", 62 , 585 ,2016,DFT
10,"10- Pulp of wood, paper products and waste paper"," 3,629 "," 4,602 ", 479 ,2016,DFT
11,11- Textiles and textile articles," 20,148 ", 996 ," 7,166 ",2016,DFT
