serial,codes,items,abrev,year,trade,imports,exports,reexports,total
1,1,"Live Animals, animals products",Live animals,2012,DFT,7769,1132,675,9576
1,1,"Live Animals, animals products",Live animals,2013,DFT,8449,1257,879,10585
1,1,"Live Animals, animals products",Live animals,2014,DFT,9238,1273,922,11433
1,1,"Live Animals, animals products",Live animals,2015,DFT,8760,1333,941,11034
1,1,"Live Animals, animals products",Live animals,2016,DFT,7586,1309,711,9606
1,1,"Live Animals, animals products",Live animals,2017,DFT,8142,1198,643,9983
1,1,"Live Animals, animals products",Live animals,2018,DFT,8961,1229,1056,11246
1,1,"Live Animals, animals products",Live animals,2019,DFT,8713,1127,979,10819
1,1,"Live Animals, animals products",Live animals,2020,DFT,8016,825,1011,9852
1,1,"Live Animals, animals products",Live animals,2012,FZT,237,4,65,306
1,1,"Live Animals, animals products",Live animals,2013,FZT,344,8,167,519
1,1,"Live Animals, animals products",Live animals,2014,FZT,583,5,265,853
1,1,"Live Animals, animals products",Live animals,2015,FZT,499,6,182,687
1,1,"Live Animals, animals products",Live animals,2016,FZT,557,11,134,702
1,1,"Live Animals, animals products",Live animals,2017,FZT,916,10,166,1092
1,1,"Live Animals, animals products",Live animals,2018,FZT,1205,4,646,1855
1,1,"Live Animals, animals products",Live animals,2019,FZT,2319,34,2185,4538
1,1,"Live Animals, animals products",Live animals,2020,FZT,799,24,638,1461
2,2,Vegetable products ,Vegetables,2012,DFT,18112,438,4946,23496
2,2,Vegetable products ,Vegetables,2013,DFT,19619,729,5080,25428
2,2,Vegetable products ,Vegetables,2014,DFT,21337,801,5368,27506
2,2,Vegetable products ,Vegetables,2015,DFT,22839,929,6699,30467
2,2,Vegetable products ,Vegetables,2016,DFT,21675,926,5824,28425
2,2,Vegetable products ,Vegetables,2017,DFT,21241,1020,5299,27560
2,2,Vegetable products ,Vegetables,2018,DFT,18373,1356,5082,24811
2,2,Vegetable products ,Vegetables,2019,DFT,17830,1515,5166,24511
2,2,Vegetable products ,Vegetables,2020,DFT,17899,1618,4486,24003
2,2,Vegetable products ,Vegetables,2012,FZT,831,156,289,1276
2,2,Vegetable products ,Vegetables,2013,FZT,1014,185,399,1598
2,2,Vegetable products ,Vegetables,2014,FZT,935,203,418,1556
2,2,Vegetable products ,Vegetables,2015,FZT,1098,309,366,1773
2,2,Vegetable products ,Vegetables,2016,FZT,820,211,264,1295
2,2,Vegetable products ,Vegetables,2017,FZT,1074,199,399,1672
2,2,Vegetable products ,Vegetables,2018,FZT,1206,181,538,1925
2,2,Vegetable products ,Vegetables,2019,FZT,1077,134,549,1760
2,2,Vegetable products ,Vegetables,2020,FZT,1524,206,921,2651
3,3,"Animal and vegetable fats, oils and waxes",Oils,2012,DFT,1012,768,94,1874
3,3,"Animal and vegetable fats, oils and waxes",Oils,2013,DFT,786,802,96,1684
3,3,"Animal and vegetable fats, oils and waxes",Oils,2014,DFT,890,1004,92,1986
3,3,"Animal and vegetable fats, oils and waxes",Oils,2015,DFT,890,729,159,1778
3,3,"Animal and vegetable fats, oils and waxes",Oils,2016,DFT,885,595,246,1726
3,3,"Animal and vegetable fats, oils and waxes",Oils,2017,DFT,1061,598,184,1843
3,3,"Animal and vegetable fats, oils and waxes",Oils,2018,DFT,973,680,78,1731
3,3,"Animal and vegetable fats, oils and waxes",Oils,2019,DFT,879,1165,79,2123
