abrev,imports,exports,reexports,trade
Arms,80.88888888888889,9.333333333333334,15.444444444444445,105.66666666666667
Art work,194.8181818181818,55.72727272727273,294.27272727272725,544.8181818181819
Cement,2959.8333333333335,1191.611111111111,984.3333333333334,5135.777777777777
Chemicals,21626.555555555555,2883.277777777778,7555.611111111111,32065.444444444445
Food Baverage,11132.611111111111,5641.388888888889,4767.277777777777,21541.277777777777
Footwear,3915.0,28.0,1097.1666666666667,5040.166666666667
Leather,2336.277777777778,15.444444444444445,635.6666666666666,2987.3888888888887
Live animals,4616.277777777777,599.3888888888889,681.3888888888889,5897.055555555556
Machinery,109040.05555555556,2717.5555555555557,74534.55555555556,186292.16666666666
Minerals,17764.0,3063.6111111111113,6149.388888888889,26977.0
Miscellaneous,6385.611111111111,433.3888888888889,2171.8888888888887,8990.888888888889
Oils,515.3888888888889,495.0,75.11111111111111,1085.5
Optical Medical,8446.333333333334,107.27777777777777,4836.555555555556,13390.166666666666
Paper,2817.1111111111113,1681.0,546.8333333333334,5044.944444444444
Plastic Ruber,9507.055555555555,2888.277777777778,3502.6666666666665,15898.0
Precious stones,139081.91666666666,51714.416666666664,54918.916666666664,245715.25
Textiles,13826.388888888889,721.8888888888889,5451.666666666667,19999.944444444445
Vegetables,10472.444444444445,617.5555555555555,2894.0555555555557,13984.055555555555
Vehicles,38332.333333333336,1171.3333333333333,20432.055555555555,59935.72222222222
Wood,1944.6666666666667,36.77777777777778,324.8888888888889,2306.3333333333335
base metals,18577.944444444445,11551.5,4461.0,34590.444444444445
