abrev,imports,exports,reexports,trade
Arms,728.0,84.0,139.0,951.0
Art work,2143.0,613.0,3237.0,5993.0
Cement,53277.0,21449.0,17718.0,92444.0
Chemicals,389278.0,51899.0,136001.0,577178.0
Food Baverage,200387.0,101545.0,85811.0,387743.0
Footwear,46980.0,336.0,13166.0,60482.0
Leather,42053.0,278.0,11442.0,53773.0
Live animals,83093.0,10789.0,12265.0,106147.0
Machinery,1962721.0,48916.0,1341622.0,3353259.0
Minerals,319752.0,55145.0,110689.0,485586.0
Miscellaneous,114941.0,7801.0,39094.0,161836.0
Oils,9277.0,8910.0,1352.0,19539.0
Optical Medical,152034.0,1931.0,87058.0,241023.0
Paper,50708.0,30258.0,9843.0,90809.0
Plastic Ruber,171127.0,51989.0,63048.0,286164.0
Precious stones,1668983.0,620573.0,659027.0,2948583.0
Textiles,248875.0,12994.0,98130.0,359999.0
Vegetables,188504.0,11116.0,52093.0,251713.0
Vehicles,689982.0,21084.0,367777.0,1078843.0
Wood,35004.0,662.0,5848.0,41514.0
base metals,334403.0,207927.0,80298.0,622628.0
